"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"IV60_tertile","self_rated_2",1,"logist",0.0761170333575389,0.0740455012569405,0.303960893947429,-0.476439901523418,0.112040591561453,0.000943007141572176,0.143822376130303,0.0922956016728187,0.143170383721511,0.107645740901837,0.104716152110279,0.322708774870869,4587
"IV60_tertile","self_rated_2",2,"logist",-0.0279427105485196,0.089900926800935,0.755939963556638,-0.295322277208384,1.85751720388929,0.883778909603277,0.0377450780555296,0.107275906773896,0.74821420576627,-0.0395169602271817,0.127139109951793,0.776284211647061,4587
"M10_midpoint_tertile","self_rated_1",1,"logist",-0.0217202565733428,0.0685999053855293,0.751530248721703,1.44208397449664,0.107830029030722,5.63742595883187e-09,-0.10147294600265,0.0829472003851932,0.242912328902342,-0.0307170814242447,0.0970149165737264,0.756557127271257,4587
"M10_midpoint_tertile","self_rated_1",2,"logist",-0.166746065989679,0.0782256715531291,0.0330395076229444,15.2646898128763,1.55508661339664,0.00224738615065325,-0.160304091252061,0.0810364281416251,0.14231009031147,-0.235814547994956,0.11062780563618,0.122824669697149,4587
"M10_midpoint_tertile","self_rated_2",1,"logist",0.0513367901273583,0.0570351654630812,0.368072282223501,-0.443009411734633,0.054572495896286,1.90472948199846e-06,0.0773772867495773,0.137814999952449,0.584035303230311,0.0726011848468117,0.0806599045300828,0.38444296278357,4587
"M10_midpoint_tertile","self_rated_2",2,"logist",-0.019982123884991,0.0674429002370291,0.767014657315536,-0.229218011330043,1.8803491036549,0.910683928443275,0.033639455370484,0.136258871126304,0.820931907690349,-0.0282589906031728,0.0953786642009823,0.786341307301827,4587
"M10_cnt_100_tertile","self_rated_1",1,"logist",0.429554302574359,0.0877715880680095,9.88059765338889e-07,1.07943825630515,0.115651824608325,3.98104157186603e-07,0.396532779142912,0.107762946752792,0.00277556914963607,0.607481520476377,0.124127770236804,0.000293211618590647,4587
"M10_cnt_100_tertile","self_rated_1",2,"logist",0.570023741636687,0.0950015837823946,1.97135485713318e-09,14.7666657559536,1.60912563007552,0.00273610492419171,0.372922330573657,0.115721153692399,0.048488340351643,0.806135306297256,0.134352528231986,0.00927206297928152,4587
"M10_cnt_100_tertile","self_rated_2",1,"logist",0.251528624879091,0.0591211923502537,2.09556064618699e-05,-0.630214090641845,0.0951805336226729,1.65997993085042e-05,0.341234934447518,0.0800751142897792,0.000927288988023139,0.355715192629066,0.0836099920453971,0.000939385032465183,4587
"M10_cnt_100_tertile","self_rated_2",2,"logist",0.358033196375744,0.0692724347866618,2.36005490039659e-07,-0.44658229441483,1.89551622507309,0.828911057429516,0.322555530480507,0.0836147052885313,0.0307816516816759,0.506335402094365,0.0979660167739032,0.0140522194566861,4587
"L5_midpoint_tertile","self_rated_1",1,"logist",-0.301416352221067,0.0645729103693828,3.04375025117487e-06,1.58027920958942,0.116494869246646,4.74028005815037e-09,-0.128473525919161,0.118197048204902,0.29680479032561,-0.42626709323206,0.0913198856062831,0.000440067603033598,4587
"L5_midpoint_tertile","self_rated_1",2,"logist",-0.323919518040905,0.0490216711356772,3.90389942594993e-11,15.6939149907297,1.64012275097314,0.00242152284404938,-0.150573748902578,0.118446301643737,0.293256798550931,-0.458091375530807,0.0693271121702678,0.00705709201182343,4587
"L5_midpoint_tertile","self_rated_2",1,"logist",-0.348956975799551,0.0852683725789064,4.26830135022982e-05,-0.209012310549792,0.100887420819978,0.0587447908535948,-0.109541167171916,0.0899379078590974,0.244882306286993,-0.493499687860423,0.120587688942571,0.00127098688171055,4587
"L5_midpoint_tertile","self_rated_2",2,"logist",-0.340902443595242,0.0712362523237564,1.70545995858973e-06,0.428061885684293,1.80150080659212,0.827483776687556,-0.133507074317131,0.0992833609763922,0.271349317996142,-0.482108859178523,0.100743274168888,0.0173501560635447,4587
"L5_cnt_tertile","self_rated_1",1,"logist",-0.466212176656872,0.0630724725520272,1.44995127016045e-13,1.67749557997049,0.110420241743572,1.18000260593935e-09,-0.203380201582064,0.105714283739864,0.0765444155595034,-0.659323583171634,0.0891979460954818,5.25697831304559e-06,4587
"L5_cnt_tertile","self_rated_1",2,"logist",-0.383016640342077,0.0657054961508714,5.56624346614853e-09,15.5096977811582,1.57364687206635,0.00222083965080142,-0.117621648816161,0.107338503135913,0.353253981069477,-0.541667327386344,0.0929216037790167,0.0100559877327144,4587
"L5_cnt_tertile","self_rated_2",1,"logist",-0.39814944247355,0.069516292420495,1.01965702548057e-08,-0.113272460475777,0.0776403203072306,0.168318634948843,-0.365730217324929,0.086317952966893,0.000970345211619111,-0.563068341397382,0.0983108835469581,6.96673254931199e-05,4587
"L5_cnt_tertile","self_rated_2",2,"logist",-0.309466841439263,0.07951038987478,9.93573194796316e-05,0.244731068987696,1.83079257701523,0.902122984601207,-0.302300018751099,0.0866254193687215,0.0397743513272242,-0.437652204268169,0.112444671710487,0.0300780027393115,4587
"RA_tertile","self_rated_1",1,"logist",0.624231293598396,0.0752602130350814,0,0.901480586856877,0.0861433510286216,1.05932593513185e-07,0.61321673622125,0.109141217655531,8.35975584110876e-05,0.882796361464549,0.1064340139813,1.50234406425246e-06,4587
"RA_tertile","self_rated_1",2,"logist",0.567178746374553,0.075781494021743,7.19424519957101e-14,15.2362385828504,1.63829196869174,0.00263162488002166,0.556098497198379,0.113695869766494,0.016348267212992,0.802111875412667,0.107171216622444,0.00494049761555895,4587
"RA_tertile","self_rated_2",1,"logist",0.505574196477552,0.0651406780341108,8.43769498715119e-15,-0.791844624445087,0.0909417708932265,8.74227772620404e-07,0.368623456970262,0.0889131780522546,0.00115004153886961,0.714989885444436,0.0921228303380186,3.11075593841922e-06,4587
"RA_tertile","self_rated_2",2,"logist",0.444964010578801,0.0632305890473683,1.96198612911758e-12,-0.11752464996721,1.85196018754152,0.953392216509376,0.290908148491066,0.0863817402147689,0.0434846041236674,0.629274138528469,0.0894215565876285,0.00589622850243978,4587
